trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
180,0,180,0,340.2652822,341.2652603,341.2652603,0,up,1,0.9682922,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
181,0,181,0,342.2652667,343.2649663,343.2649663,0,up,1,1.065562,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
182,0,182,0,344.3481321,345.3482059,345.3482059,0,up,1,0.7888882,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
183,0,183,0,346.1650138,347.1650187,347.1650187,3,down,1,0.7235904,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
184,0,184,0,347.914816,348.9151848,348.9151848,-5,down,1,0.6308951,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
185,0,185,0,349.5646675,350.5653919,350.5653919,-4,down,1,0.5975816,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
186,0,186,0,351.1814285,352.1816415,352.1816415,0,up,1,0.6974826,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
187,0,187,0,352.8977135,353.8978658,353.8978658,0,down,0,1.4059958,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
188,0,188,0,355.3306989,356.3315624,356.3315624,-5,down,1,0.5803689,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
189,0,189,0,356.930954,357.9312524,357.9312524,-5,down,1,0.5430969,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
190,0,190,0,358.4976544,359.4977921,359.4977921,-1,up,0,0.6982048,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
191,0,191,0,360.2139961,361.214163,361.214163,0,up,1,0.8542544,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
192,0,192,0,362.0971359,363.0970403,363.0970403,0,up,1,0.5775585,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
193,0,193,0,363.6974393,364.69732,364.69732,0,up,1,0.5718692,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
194,0,194,0,365.2972053,366.2977358,366.2977358,-1,up,0,0.5667995,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
195,0,195,0,366.8802783,367.8810461,367.8810461,2,down,1,0.5896613,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
196,0,196,0,368.4972416,369.4977192,369.4977192,0,up,1,0.7756698,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
197,0,197,0,370.297174,371.2975001,371.2975001,0,down,0,0.7786824,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
198,0,198,0,372.0971286,373.0976893,373.0976893,-3,down,1,0.7147034,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
199,0,199,0,373.8301406,374.8305635,374.8305635,-4,down,1,0.581104,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
