trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
55,0,55,0,116.643026,117.6434452,117.6434452,0,up,1,0.8271011,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
56,0,56,0,118.4930802,119.4934841,119.4934841,0,up,1,1.472615,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
57,0,57,0,120.9926301,121.9930971,121.9930971,0,up,1,0.8081241,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
58,0,58,0,122.8262627,123.8265616,123.8265616,2,down,1,0.5464441,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
59,0,59,0,124.3927517,125.3932232,125.3932232,0,up,1,0.757417,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
60,0,60,0,126.1761546,127.1764217,127.1764217,-4,down,1,0.81677,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
61,0,61,0,128.0093178,129.00964,129.00964,2,down,1,0.8322821,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
62,0,62,0,129.8590075,130.858852,130.858852,-4,down,1,0.7572277,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
63,0,63,0,131.6423624,132.6427558,132.6427558,0,up,0,0.9516168,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
64,0,64,0,133.6256202,134.6262904,134.6262904,-4,down,1,0.7434254,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
65,0,65,0,135.3919226,136.3930864,136.3930864,0,up,1,0.6614034,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
66,0,66,0,137.0754561,138.0752303,138.0752303,0,up,1,0.7916794,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
67,0,67,0,138.892042,139.8923793,139.8923793,0,up,1,0.6627138,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
68,0,68,0,140.5755219,141.575744,141.575744,0,up,1,0.7738306,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
69,0,69,0,142.37523,143.3755498,143.3755498,0,up,1,0.638567,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
70,0,70,0,144.0415563,145.042026,145.042026,1,down,1,1.3965723,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
71,0,71,0,146.4583301,147.4587572,147.4587572,2,down,1,0.6851757,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
72,0,72,0,148.1747823,149.1753379,149.1753379,0,up,1,0.8072729,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
73,0,73,0,150.0083264,151.0086885,151.0086885,-3,down,1,0.7277902,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
74,0,74,0,151.7581147,152.758303,152.758303,0,up,1,0.6576341,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
75,0,75,0,153.4413004,154.4415889,154.4415889,0,up,1,0.5809076,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
